PokemonNumber,PokemonName,Height,Feet,Inches,PokeType,Ability,Description,EvoNumber,FamilyNumber,Type1,Type2
1,Bulbasaur,15.2,2,4,Seed,Overgrow,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.",1,1,Grass,Poison
2,Ivysaur,28.7,3,3,Seed,Overgrow,"There is a bud on this Pok‚mon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.",2,1,Grass,Poison
3,Venasaur,220.5,6,7,Seed,Overgrow,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,3,1,Grass,Poison
4,Charmander,18.7,2,0,Lizard,Blaze,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pok‚mon becomes enraged, the flame burns fiercely.",1,2,Fire,
5,Charmeleon,41.9,3,7,Lizard,Blaze,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",2,2,Fire,
6,Charizard,199.5,5,7,Flame,Blaze,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",3,2,Fire,Flying
7,Squirtle,19.8,1,8,Tiny Turtle,Torrent,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pok‚mon to swim at high speeds.",1,3,Water,
8,Wortortle,49.6,3,3,Turtle,Torrent,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pok‚mon's toughness as a battler.",2,3,Water,
9,Blastoise,188.5,5,3,Shellfish,Torrent,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,3,3,Water,
10,Caterpie,6.4,1,0,Worm,Shield Dust,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pok‚mon releases a terrifically strong odor.",1,4,Bug,
11,Metapod,21.8,2,4,Cocoon,Shed Skin,The shell covering this Pok‚mon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,2,4,Bug,
12,Butterfree,70.5,3,7,Butterfly,Compound Eyes,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",3,4,Bug,Flying
13,Weedle,7.1,1,0,Hairy Bug,Shield Dust,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,1,5,Bug,
14,Kakuna,22,2,0,Cocoon,Shed Skin,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",2,5,Bug,
15,Beedrill,65,3,3,Poison Bee,Swarm,"Beedrill is extremely territorial. No one should ever approach its nest?this is for their own safety. If angered, they will attack in a furious swarm.",3,5,Bug,Flying
16,Pidgey,4,1,0,Tiny Bird,Keen Eye,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",1,6,Normal,Flying
17,Pidgeotto,66.1,3,7,Bird,Keen Eye,"Pidgeotto claims a large area as its own territory. This Pok‚mon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",2,6,Normal,Flying
18,Pideot,87.1,4,11,Bird,Keen Eye,"This Pok‚mon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pok‚mon.",3,6,Normal,Flying
19,Rattata,7.7,1,0,Mouse,Run Away,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives?it will make its nest anywhere.",1,7,Normal,
20,Raticate,40.8,2,4,Mouse,Run Away,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",2,7,Normal,
21,Spearow,4.4,1,0,Tiny Bird,Keen Eye,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",1,8,Normal,Flying
22,Fearow,83.8,3,11,Beak,Keen Eye,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,2,8,Normal,Flying
23,Ekans,15.2,6,7,Snake,Shed Skin,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,1,9,Poison,
24,Arbok,143.3,11,6,Cobra,Shed Skin,"This Pok‚mon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible",2,9,Poison,
25,Pikachu,13.2,1,4,Mouse,Static,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pok‚mon mistook the intensity of its charge.",1,10,Electric,
26,Raichu,66.1,2,7,Mouse,Static,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pok‚mon's nest. ",2,10,Electric,
27,Sandshrew,36.5,2,0,Mouse,Sand Veil,"Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pok‚mon curls up to protect itself from its enemies.",1,11,Ground,
28,Sandslash,65,3,3,Mouse,Sand Veil,"Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.",2,11,Ground,
29,Nidoran,15.4,1,4,Poison Pin,Poison Point,"Nidoran? has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pok‚mon. When enraged, it releases a horrible toxin from its horn.",1,12,Poison,
30,Nidorina,44.1,2,7,Poison Pin,Poison Point,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pok‚mon appears to become nervous if separated from the others.",2,12,Poison,
31,Nidoqueen,132.3,4,3,Drill,Poison Point,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pok‚mon is at its strongest when it is defending its young.,3,12,Poison,Ground
32,Nidoran,19.8,1,8,Poison Pin,Poison Point,"Nidoran? has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pok‚mon's notice.",1,13,Poison,
33,Nidorino,43,2,11,Poison Pin,Poison Point,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",2,13,Poison,
34,Nidoking,136.7,4,7,Drill,Poison Point,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pok‚mon goes on a rampage, there is no stopping it.",3,13,Poison,Ground
35,Clefairy,16.5,2,0,Fairy,Cute Charm,"On every night of a full moon, groups of this Pok‚mon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",1,14,Normal,
36,Clefable,88.2,4,3,Fairy,Cute Charm,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",2,14,Normal,
37,Vulpix,21.8,2,0,Fox,Flash Fire,"At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pok‚mon receives plenty of love from its Trainer. The six tails become magnificently curled. ",1,15,Fire,
38,Ninetails,43.9,3,7,Fox,Flash Fire,Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pok‚mon is said to live for a thousand years.,2,15,Fire,
39,Jugglypuff,12.1,1,8,Balloon,Cute Charm,Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pok‚mon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,1,16,Normal,
40,Wigglytuff,26.5,3,3,Balloon,Cute Charm,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pok‚mon's eyes, it is quickly washed away.",2,16,Normal,
41,Zubat,16.5,2,7,Bat,Inner Focus,Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,1,17,Poison,Flying
42,Golbat,121.3,5,3,Bat,Inner Focus,"Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pok‚mon flits around in the night skies, seeking fresh blood.",2,17,Poison,Flying
43,Oddish,11.9,1,8,Weed,Clorophyll,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.",1,18,Grass,Poison
44,Gloom,19,2,7,Weed,Clorophyll,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pok‚mon is feeling calm and secure, it does not release its usual stinky aroma.",2,18,Grass,Poison
45,Vileplume,41,3,11,Flower,Clorophyll,"Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.",3,18,Grass,Poison
46,Paras,11.9,1,0,Mushroom,Effect Spore,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pok‚mon host. They are highly valued as a medicine for extending life.,1,19,Bug,
47,Parasect,65,3,3,Mushroom,Effect Spore,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",2,19,Bug,
48,Venonat,66.1,3,3,Insect,Compound Eyes,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",1,20,Bug,
49,Venomoth,27.6,4,11,Poison Moth,Shield Dust,"Venomoth is nocturnal?it is a Pok‚mon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",2,20,Bug,Poison
50,Diglett,1.8,0,8,Mole,Sand Veil,"Diglett are raised in most farms. The reason is simple? wherever this Pok‚mon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",1,21,Ground,
